Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AAAP,Advanced Accelerator Applications S.A.,30.14,$1.3B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaap
ADES,"Advanced Emissions Solutions, Inc.",9.38,$206.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",53.5,$2.12B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeis
AITP,Advanced Inhalation Therapies (AIT) Ltd.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aitp
AMD,"Advanced Micro Devices, Inc.",10.34,$9.58B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",8.92,$355.41M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",5.1001,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",3.2,$133.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/advm
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,23.7499,$1.19M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui
AEGN,Aegion Corp,25.85,$877.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",5.52,$74.14M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,2.75,$44.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",1.74,$34.55M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amtx
AEPI,AEP Industries Inc.,118.7,$607.01M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aepi
AERI,"Aerie Pharmaceuticals, Inc.",36.95,$1.23B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",28.88,$675.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,3.8,$44.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",4.81,$37.16M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aemd
AFMD,Affimed N.V.,2,$66.52M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,4.28,$372.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",6.71,$192.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",10.37,$242.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",49.58,$2.08B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,18.49,$6.12B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.01,$8.66B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agncb
AGNCP,AGNC Investment Corp.,25.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agncp
AGFS,"AgroFresh Solutions, Inc.",2.88,$143.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agfsw
AIMT,"Aimmune Therapeutics, Inc.",23.08,$978.19M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aimt
AIRM,Air Methods Corporation,32.9,$1.2B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",20.55,$41.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",16.57,$987.05M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",18.25,$138.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,2.57,$159.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,4.07,$454.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",64.94,$11.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,7.01,$82.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aktx
AKBA,"Akebia Therapeutics, Inc.",8.57,$328.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,1.85,$10.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",18.6,$2.33B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akrx
ALRM,"Alarm.com Holdings, Inc.",27.64,$1.27B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.61,$82.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",18.02,$772.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amri
ALBO,"Albireo Pharma, Inc.",24.67,$155.29M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,12.18,$164.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,Alcobra Ltd.,1.99,$54.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adhd
