Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MITT,"AG Mortgage Investment Trust, Inc.",18.85,$522.15M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",24.8297,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",23.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,60.35,$4.84B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",46.3,$15B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,38.28,$8.62B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,45.59,$1.18B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adc
AGU,Agrium Inc.,109.38,$15.11B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,36.54,$3.76B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",149.55,$32.51B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,22.07,$1.74B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,10.13,$3.17B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aks
ALP^O,Alabama Power Company,29.8447,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^o
ALG,"Alamo Group, Inc.",75.91,$873.77M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,6.05,$1.62B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",89.77,$11.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,49.25,$1.58B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,90.69,$10.2B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,32.05,$5.86B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aa
ALR,Alere Inc.,37.58,$3.27B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,322,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,"Alexander & Baldwin Holdings, Inc.",45.98,$2.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",441,$2.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",109.92,$8.73B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",35.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
ARE^E,"Alexandria Real Estate Equities, Inc.",25.04,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e
AQN,Algonquin Power & Utilities Corp.,8.47,$2.32B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aqn
BABA,Alibaba Group Holding Limited,93.28,$233.2B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,601.03,$9.27B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,18.94,$2.06B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,65.68,$6.31B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,192.25,$72.08B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn
AGN^A,Allergan plc.,711.84,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a
ALE,"Allete, Inc.",65.19,$3.22B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,13.29,$113.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,232.2,$13.41B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.2,$379.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afb
AOI,"Alliance One International, Inc.",18.8,$182.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,12.22,$1.05B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,23.2,$2.2B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,36.83,$8.38B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lnt
NCV,AllianzGI Convertible & Income Fund,6.64,$585.55M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ncv
